"ITEMTYPE","ITEMID","COLOR","MAXPRICE","MINQTY","CONDITION","NOTIFY"
"P","63864","86","-1.0000","2","X","N"
"P","87552","86","-1.0000","2","X","N"
"P","87620","86","-1.0000","4","X","N"
"P","92593","86","-1.0000","2","X","N"
"P","92946","55","-1.0000","4","X","N"
"P","92946","85","-1.0000","4","X","N"
"P","92584","11","-1.0000","4","X","N"
"P","99563","86","-1.0000","3","X","N"
"P","93273","86","-1.0000","2","X","N"
"P","2436b","86","-1.0000","2","X","N"
"P","98286","86","-1.0000","4","X","N"
"P","98285","11","-1.0000","4","X","N"
"P","99781","11","-1.0000","5","X","N"
"P","11211","5","-1.0000","2","X","N"
"P","10247","86","-1.0000","2","X","N"
"P","11476","86","-1.0000","2","X","N"
"P","11477","86","-1.0000","2","X","N"
"P","15573","11","-1.0000","4","X","N"
"P","15573","85","-1.0000","2","X","N"
"P","15068","85","-1.0000","2","X","N"
"P","15303","17","-1.0000","3","X","N"
"P","15301c01","85","-1.0000","2","X","N"
"P","18651","11","-1.0000","2","X","N"
"P","18654","85","-1.0000","2","X","N"
"P","23948","3","-1.0000","2","X","N"
"P","2420","85","-1.0000","12","X","N"
"P","3005","55","-1.0000","8","X","N"
"P","3021","86","-1.0000","8","X","N"
"P","3023","3","-1.0000","6","X","N"
"P","3023","69","-1.0000","8","X","N"
"P","3034","7","-1.0000","6","X","N"
"P","32000","85","-1.0000","6","X","N"
"P","3623","86","-1.0000","6","X","N"
"P","3665","85","-1.0000","10","X","N"
"P","3666","86","-1.0000","13","X","N"
"P","3710","55","-1.0000","6","X","N"
"P","3710","85","-1.0000","13","X","N"
"P","3795","69","-1.0000","7","X","N"
"P","4070","86","-1.0000","8","X","N"
"P","4073","95","-1.0000","10","X","N"
"P","4282","11","-1.0000","6","X","N"
"P","4282","86","-1.0000","6","X","N"
"P","2780","11","-1.0000","14","X","N"
"P","6179","11","-1.0000","6","X","N"
"P","6558","7","-1.0000","11","X","N"
"P","30414","2","-1.0000","6","X","N"
"P","30503","86","-1.0000","6","X","N"
"P","3069b","55","-1.0000","9","X","N"
"P","3068b","11","-1.0000","8","X","N"
"P","50950","85","-1.0000","8","X","N"
"P","87079","11","-1.0000","14","X","N"
"P","92280","11","-1.0000","6","X","N"
"P","24309","86","-1.0000","14","X","N"
