BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
3033	303326	3033	Plate 6 x 10	11	0	Black	Solid Colors	1	7.95
3034	303424	3034	Plate 2 x 8	3	14	Yellow	Solid Colors	2	2.27
3034	303423	3034	Plate 2 x 8	7	1	Blue	Solid Colors	10	2.27
3035	4211407	3035	Plate 4 x 8	86	71	Light Bluish Gray	Solid Colors	2	4.7
3035	303526	3035	Plate 4 x 8	11	0	Black	Solid Colors	1	4.7
30350a	4227517	30350a	Tile, Modified 2 x 3 with 2 Clips (angled clips)	85	72	Dark Bluish Gray	Solid Colors	1	1.08
30355	4143180	30355	Wedge, Plate 6 x 12 Left	11	0	Black	Solid Colors	2	7.99
30356	4143181	30356	Wedge, Plate 6 x 12 Right	11	0	Black	Solid Colors	2	7.99
3036	4211408	3036	Plate 6 x 8	86	71	Light Bluish Gray	Solid Colors	2	6.4
3036	4210794	3036	Plate 6 x 8	85	72	Dark Bluish Gray	Solid Colors	1	6.4
3037	4211409	3037	Slope 45 2 x 4	86	71	Light Bluish Gray	Solid Colors	1	1.97
3040	4211614	3040	Slope 45 2 x 1	86	71	Light Bluish Gray	Solid Colors	2	0.69
30503	4160560	30503	Wedge, Plate 4 x 4 Cut Corner	86	71	Light Bluish Gray	Solid Colors	10	1.6
3068a		3068a	Tile 2 x 2 without Groove	11	0	Black	Solid Colors	6	0.5
3069b	306926	3069b	Tile 1 x 2 with Groove	11	0	Black	Solid Colors	8	0.26
3069b	4211414	3069b	Tile 1 x 2 with Groove	86	71	Light Bluish Gray	Solid Colors	5	0.26
3069b	6142505	3069b	Tile 1 x 2 with Groove	55	379	Sand Blue	Solid Colors	2	0.26
3069b	6251290	3069b	Tile 1 x 2 with Groove	17	36	Trans-Red	Transparent Colors	8	0.26
3070b	4211415	3070b	Tile 1 x 1 with Groove	86	71	Light Bluish Gray	Solid Colors	8	0.16
3070b	6254248	3070b	Tile 1 x 1 with Groove	17	36	Trans-Red	Transparent Colors	6	0.16
32028	4211568	32028	Plate, Modified 1 x 2 with Door Rail	86	71	Light Bluish Gray	Solid Colors	2	0.44
32140	4210667	32140	Technic, Liftarm 2 x 4 L-Shape Thick	85	72	Dark Bluish Gray	Solid Colors	4	1.43
32184	6037676	32184	Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole	3	14	Yellow	Solid Colors	2	0.64
32209	4508553	32209	Technic, Axle 5.5 with Stop	85	72	Dark Bluish Gray	Solid Colors	1	0.83
40345	4188143	40345	Technic, Brick 6 x 8 Open Center	11	0	Black	Solid Colors	1	8.0
32803	6185676	32803	Slope, Curved 2 x 2 Inverted	86	71	Light Bluish Gray	Solid Colors	14	0.67
3297	4211420	3297	Slope 33 3 x 4	86	71	Light Bluish Gray	Solid Colors	4	2.57
3460	346026	3460	Plate 1 x 8	11	0	Black	Solid Colors	2	1.36
3460	4210998	3460	Plate 1 x 8	85	72	Dark Bluish Gray	Solid Colors	7	1.36
35464	6253436	35464	Slope 45 1 x 1 Double	86	71	Light Bluish Gray	Solid Colors	4	0.17
35787	6214807	35787	Tile, Modified 2 x 2 Triangular	11	0	Black	Solid Colors	8	0.24
3622	4211428	3622	Brick 1 x 3	86	71	Light Bluish Gray	Solid Colors	6	1.24
3623	362326	3623	Plate 1 x 3	11	0	Black	Solid Colors	2	0.53
3623	4211429	3623	Plate 1 x 3	86	71	Light Bluish Gray	Solid Colors	4	0.53
3660	4211436	3660	Slope, Inverted 45 2 x 2	86	71	Light Bluish Gray	Solid Colors	12	1.25
3665	4211437	3665	Slope, Inverted 45 2 x 1	86	71	Light Bluish Gray	Solid Colors	2	0.66
3666	4211438	3666	Plate 1 x 6	86	71	Light Bluish Gray	Solid Colors	3	1.06
3666	366626	3666	Plate 1 x 6	11	0	Black	Solid Colors	3	1.06
3666	366624	3666	Plate 1 x 6	3	14	Yellow	Solid Colors	3	1.06
3666	4211056	3666	Plate 1 x 6	85	72	Dark Bluish Gray	Solid Colors	2	1.06
3701	370126	3701	Technic, Brick 1 x 4 with Holes	11	0	Black	Solid Colors	2	1.46
3702	4211442	3702	Technic, Brick 1 x 8 with Holes	86	71	Light Bluish Gray	Solid Colors	2	2.85
3702	370226	3702	Technic, Brick 1 x 8 with Holes	11	0	Black	Solid Colors	10	2.85
3706	370626	3706	Technic, Axle 6	11	0	Black	Solid Colors	2	0.94
3710	371026	3710	Plate 1 x 4	11	0	Black	Solid Colors	1	0.71
3710	4211001	3710	Plate 1 x 4	85	72	Dark Bluish Gray	Solid Colors	2	0.71
3710	371024	3710	Plate 1 x 4	3	14	Yellow	Solid Colors	6	0.71
3794b	379426	3794b	Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)	11	0	Black	Solid Colors	14	0.3
3795	4211002	3795	Plate 2 x 6	85	72	Dark Bluish Gray	Solid Colors	1	1.74
3795	379528	3795	Plate 2 x 6	6	2	Green	Solid Colors	8	1.74
3795	379526	3795	Plate 2 x 6	11	0	Black	Solid Colors	2	1.74
3795	379524	3795	Plate 2 x 6	3	14	Yellow	Solid Colors	4	1.74
3832	4210678	3832	Plate 2 x 10	85	72	Dark Bluish Gray	Solid Colors	2	2.91
3832	383226	3832	Plate 2 x 10	11	0	Black	Solid Colors	6	2.91
3894	389424	3894	Technic, Brick 1 x 6 with Holes	3	14	Yellow	Solid Colors	2	2.2
3895	389526	3895	Technic, Brick 1 x 12 with Holes	11	0	Black	Solid Colors	4	4.2
3895	4211860	3895	Technic, Brick 1 x 12 with Holes	86	71	Light Bluish Gray	Solid Colors	4	4.2
3958	4211134	3958	Plate 6 x 6	85	72	Dark Bluish Gray	Solid Colors	1	4.71
3958	4211474	3958	Plate 6 x 6	86	71	Light Bluish Gray	Solid Colors	1	4.71
4070	4211044	4070	Brick, Modified 1 x 1 with Headlight	85	72	Dark Bluish Gray	Solid Colors	4	0.36
41539	4166618	41539	Plate 8 x 8	86	71	Light Bluish Gray	Solid Colors	2	9.4
4162	4211481	4162	Tile 1 x 8	86	71	Light Bluish Gray	Solid Colors	6	1.06
4162	5210651	4162	Tile 1 x 8	85	72	Dark Bluish Gray	Solid Colors	2	1.06
41764	4260935	41764	Wedge 6 x 2 Inverted Right	86	71	Light Bluish Gray	Solid Colors	2	2.5
41765	4260934	41765	Wedge 6 x 2 Inverted Left	86	71	Light Bluish Gray	Solid Colors	2	2.5
41769	4160869	41769	Wedge, Plate 4 x 2 Right	11	0	Black	Solid Colors	1	0.83
41770	4161332	41770	Wedge, Plate 4 x 2 Left	11	0	Black	Solid Colors	1	0.83
42023	6132260	42023	Slope, Curved 6 x 1 Inverted	86	71	Light Bluish Gray	Solid Colors	10	1.92
4274	4143005	4274	Technic, Pin 1/2	7	1	Blue	Solid Colors	22	0.095
4282	428226	4282	Plate 2 x 16	11	0	Black	Solid Colors	6	4.5
4282	4211486	4282	Plate 2 x 16	86	71	Light Bluish Gray	Solid Colors	6	4.5
4287	4211489	4287	Slope, Inverted 33 3 x 1	86	71	Light Bluish Gray	Solid Colors	6	0.94
43045	6256117	43045	Hinge Plate 2 x 4 with Pin Hole and 2 Holes - Top	86	71	Light Bluish Gray	Solid Colors	6	1.15
43045	6256116	43045	Hinge Plate 2 x 4 with Pin Hole and 2 Holes - Top	11	0	Black	Solid Colors	1	1.15
43093	4309323	43093	Technic, Axle Pin with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	2	0.26
43722	4211791	43722	Wedge, Plate 3 x 2 Right	86	71	Light Bluish Gray	Solid Colors	2	0.64
43723	4211794	43723	Wedge, Plate 3 x 2 Left	86	71	Light Bluish Gray	Solid Colors	2	0.64
4445	4509914	4445	Slope 45 2 x 8	86	71	Light Bluish Gray	Solid Colors	2	4.04
4477	447726	4477	Plate 1 x 10	11	0	Black	Solid Colors	4	1.61
4477	4251149	4477	Plate 1 x 10	86	71	Light Bluish Gray	Solid Colors	4	1.61
47397	4208988	47397	Wedge, Plate 12 x 3 Left	86	71	Light Bluish Gray	Solid Colors	4	3.25
47398	4209006	47398	Wedge, Plate 12 x 3 Right	86	71	Light Bluish Gray	Solid Colors	4	3.25
48336	4244627	48336	Plate, Modified 1 x 2 with Handle on Side - Closed Ends	86	71	Light Bluish Gray	Solid Colors	5	0.54
50955	4505087	50955	Wedge 10 x 3 Left	86	71	Light Bluish Gray	Solid Colors	1	4.3
50956	4505088	50956	Wedge 10 x 3 Right	86	71	Light Bluish Gray	Solid Colors	1	4.3
51739	4507056	51739	Wedge, Plate 2 x 4	86	71	Light Bluish Gray	Solid Colors	2	0.84
52031	4648250	52031	Wedge 4 x 6 x 2/3 Triple Curved	86	71	Light Bluish Gray	Solid Colors	1	3.3
52107	4557157	52107	Brick, Modified 1 x 2 with Studs on 2 Sides	3	14	Yellow	Solid Colors	4	0.86
54200	4521921	54200	Slope 30 1 x 1 x 2/3	86	71	Light Bluish Gray	Solid Colors	2	0.21
54383	4282786	54383	Wedge, Plate 6 x 3 Right	86	71	Light Bluish Gray	Solid Colors	8	1.5
54383	4283046	54383	Wedge, Plate 6 x 3 Right	11	0	Black	Solid Colors	9	1.5
54384	4282789	54384	Wedge, Plate 6 x 3 Left	86	71	Light Bluish Gray	Solid Colors	8	1.5
54384	4283047	54384	Wedge, Plate 6 x 3 Left	11	0	Black	Solid Colors	9	1.5
60470b	4556157	60470b	Plate, Modified 1 x 2 with Clips Horizontal (thick open O clips)	86	71	Light Bluish Gray	Solid Colors	3	0.55
60478	4515369	60478	Plate, Modified 1 x 2 with Handle on End - Closed Ends	86	71	Light Bluish Gray	Solid Colors	2	0.55
60479	4514846	60479	Plate 1 x 12	86	71	Light Bluish Gray	Solid Colors	8	1.95
6111	4211521	6111	Brick 1 x 10	86	71	Light Bluish Gray	Solid Colors	2	3.8
6112	4211522	6112	Brick 1 x 12	86	71	Light Bluish Gray	Solid Colors	4	4.8
61409	6092111	61409	Slope 18 2 x 1 x 2/3 with 4 Slots	86	71	Light Bluish Gray	Solid Colors	4	0.3
61409	4540386	61409	Slope 18 2 x 1 x 2/3 with 4 Slots	85	72	Dark Bluish Gray	Solid Colors	10	0.3
4073	4210633	4073	Plate, Round 1 x 1 Straight Side	85	72	Dark Bluish Gray	Solid Colors	12	0.12
4073	614124	4073	Plate, Round 1 x 1 Straight Side	3	14	Yellow	Solid Colors	2	0.12
4073	4211525	4073	Plate, Round 1 x 1 Straight Side	86	71	Light Bluish Gray	Solid Colors	10	0.12
6179	617926	6179	Tile, Modified 4 x 4 with Studs on Edge	11	0	Black	Solid Colors	10	1.94
6180	4211838	6180	Tile, Modified 4 x 6 with Studs on Edges	86	71	Light Bluish Gray	Solid Colors	2	2.95
63864	4558169	63864	Tile 1 x 3	86	71	Light Bluish Gray	Solid Colors	2	0.39
63868	4535738	63868	Plate, Modified 1 x 2 with Clip Horizontal on End	86	71	Light Bluish Gray	Solid Colors	2	0.46
6541	654124	6541	Technic, Brick 1 x 1 with Hole	3	14	Yellow	Solid Colors	4	0.38
6558	4514553	6558	Technic, Pin 3L with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	16	0.31
6636	4211549	6636	Tile 1 x 6	86	71	Light Bluish Gray	Solid Colors	7	0.83
6636	4210651	6636	Tile 1 x 6	85	72	Dark Bluish Gray	Solid Colors	4	0.83
85984	4568637	85984	Slope 30 1 x 2 x 2/3	86	71	Light Bluish Gray	Solid Colors	10	0.34
87079	4560182	87079	Tile 2 x 4	11	0	Black	Solid Colors	26	0.9
87079	4560183	87079	Tile 2 x 4	86	71	Light Bluish Gray	Solid Colors	5	0.9
87620	4651063	87620	Brick, Modified Facet 2 x 2	86	71	Light Bluish Gray	Solid Colors	4	1.0
87994		87994	Bar   3L (Bar Arrow)	85	72	Dark Bluish Gray	Solid Colors	2	0.2
88646	6076678	88646	Tile, Modified 3 x 4 with 4 Studs in Center	11	0	Black	Solid Colors	4	1.52
88646	6079461	88646	Tile, Modified 3 x 4 with 4 Studs in Center	86	71	Light Bluish Gray	Solid Colors	1	1.52
92280	4598526	92280	Plate, Modified 1 x 2 with Clip on Top	86	71	Light Bluish Gray	Solid Colors	2	0.4
92584	4599461	92584	Wedge, Plate 10 x 10 Cut Corner with no Studs in Center	11	0	Black	Solid Colors	4	8.5
92593	4599498	92593	Plate, Modified 1 x 4 with 2 Studs	86	71	Light Bluish Gray	Solid Colors	4	0.61
93606	4622742	93606	Slope, Curved 4 x 2 No Studs	86	71	Light Bluish Gray	Solid Colors	3	1.4
99563	6134378	99563	Minifig, Utensil Gold Ingot (Bar)	86	71	Light Bluish Gray	Solid Colors	4	0.22
98138	6258607	98138	Tile, Round 1 x 1	17	36	Trans-Red	Transparent Colors	2	0.11
98285	4646512	98285	Hinge Plate 2 x 4 with Pin Hole and 3 Holes - Bottom	86	71	Light Bluish Gray	Solid Colors	4	1.25
98286	6256117	98286	Hinge Plate 2 x 4 with Pin Hole and 3 Holes - Top	86	71	Light Bluish Gray	Solid Colors	4	1.162
98286	6256116	98286	Hinge Plate 2 x 4 with Pin Hole and 3 Holes - Top	11	0	Black	Solid Colors	1	1.162
99780	6000606	99780	Bracket 1 x 2 - 1 x 2 Inverted	85	72	Dark Bluish Gray	Solid Colors	3	0.55
									
Total qty	Total Weight								
777	1001.76								
